case,family,status,tier,profile,declared_bytes,declared_entries,preparation_ns,acquisition_ns,operation_ns,verification_ns,cleanup_ns,handoff_ns,verification_invocation_ns,complete_command_ns,heap_peak_incremental_bytes,space_apparent_bytes,space_allocated_bytes
overwrite-tail-4k-500m,c1.edit.length-preserving,PASS,500m,-,524288000,0,718998667,0,230333,1092074125,625,0,0,1824509167,87871,,
payload-create-100m,c1.construct.whole-file,PASS,100m,-,104857600,0,163769500,0,139871166,369514417,541,0,0,682774334,81077,,
payload-create-10m-compact-v2,c1.construct.whole-file,PASS,10m,compact-v2,10485760,0,16462875,0,14092833,37616542,375,0,0,76304083,81077,,
payload-create-1m-compact-v2,c1.construct.whole-file,PASS,1m,compact-v2,1048576,0,1967917,0,1454583,4341125,209,0,0,14956041,69207,,
payload-create-500m,c1.construct.whole-file,PASS,500m,-,524288000,0,810233375,0,695616791,1870695875,1125,0,0,3397647458,95525,,
payload-create-chunked-100m,c1.construct.chunked,PASS,100m,-,104857600,0,161058625,0,139060375,375345750,834,0,0,685737333,212149,,
payload-create-chunked-10m-compact-v2,c1.construct.chunked,PASS,10m,compact-v2,10485760,0,16685166,0,14074459,36916000,334,0,0,74763875,212149,,
payload-create-chunked-1m-compact-v2,c1.construct.chunked,PASS,1m,compact-v2,1048576,0,1814042,0,1448041,3827833,375,0,0,13947667,197748,,
payload-create-chunked-500m,c1.construct.chunked,PASS,500m,-,524288000,0,810306792,0,703979875,1865599125,1042,0,0,3400126125,226597,,
payload-random-read-100m,c2.read.waves,PASS,100m,-,104857600,0,124594292,120253000,2032250,509345459,666,0,0,643733750,1275519,,
payload-random-read-10m-compact-v2,c2.read.waves,PASS,10m,compact-v2,10485760,0,44986166,15657041,938084,51381875,3375,0,0,104998958,1094745,,
payload-random-read-1m-compact-v2,c2.read.waves,PASS,1m,compact-v2,1048576,0,10686250,7194417,516000,6109833,292,0,0,24622125,1057874,,
payload-random-read-500m,c2.read.waves,PASS,500m,-,524288000,0,586101250,581985208,2342333,2653912750,375,0,0,3250117542,1308160,,
pipeline-edits-chunked,pipeline.*,PASS,-,-,0,0,93933792,15605334,5592625,57814791,584,0,0,166896041,4698138,,
pipeline-edits-large-to-small,pipeline.*,PASS,-,-,0,0,17187625,6392500,4907459,1356042,292,0,0,33204375,3850393,,
pipeline-edits-small,pipeline.*,PASS,-,-,0,0,17884583,6643291,3321917,6396375,208,0,0,35115917,4610032,,
pipeline-filesystem-build,pipeline.*,PASS,-,-,0,0,10370791,5135459,4895166,10737834,458,0,0,33097917,2611945,,
pooled-lane-cold,c2.pool.cold-warm,PASS,-,-,0,512,80053792,6085167,110356375,1891792,375,344116,0,199888292,4891364,,
pooled-lane-warm,c2.pool.cold-warm,PASS,-,-,0,512,195321541,10622209,105025417,1551000,291,230497,0,309132833,9325131,,
prepend-head-4k-100m,c1.edit.length-changing,PASS,100m,-,104857600,0,139244458,0,86834,220656291,542,0,0,368251791,45639,,
prepend-head-4k-10m,c1.edit.length-changing,PASS,10m,-,10485760,0,15148958,0,82334,21815042,458,0,0,44297208,45639,,
prepend-head-4k-1m,c1.edit.length-changing,PASS,1m,-,1048576,0,2335750,0,47792,2286375,292,0,0,11801792,45639,,
prepend-head-4k-500m,c1.edit.length-changing,PASS,500m,-,524288000,0,706383708,0,137875,1096267834,750,0,0,1817345375,60314,,
shrink-100m,c1.edit.length-changing,PASS,100m,-,104857600,0,144380584,0,109167,225456625,500,0,0,378924292,51914,,
shrink-10m,c1.edit.length-changing,PASS,10m,-,10485760,0,15208417,0,72459,21769208,209,0,0,44242500,25146,,
shrink-1m,c1.edit.length-changing,PASS,1m,-,1048576,0,2102250,0,34208,2230208,334,0,0,10887417,11877,,
shrink-500m,c1.edit.length-changing,PASS,500m,-,524288000,0,718340709,0,151833,1124973333,875,0,0,1857732125,74134,,
small-file-delta-1024,c2.delta.small-file,PASS,-,-,1024,0,9881875,5097959,602959,585750,208,1375,0,18245625,2228084,,
small-file-delta-131071,c2.delta.small-file,PASS,-,-,131071,0,9586084,4904166,1577792,958500,167,16292,0,19622500,2748278,,
small-file-delta-16384,c2.delta.small-file,PASS,-,-,16384,0,10448500,5988333,1117083,705542,375,2750,0,20793334,2289524,,
small-file-delta-65536,c2.delta.small-file,PASS,-,-,65536,0,9487958,4636625,1196750,761334,250,3708,0,19298833,2486132,,
store-footprint-large-object-10m-low-v1,c2.footprint,PASS,-,low-v1,10485760,1,24313250,5546042,55173500,893166,334,687116,0,87720667,3376434,10768384,10768384
store-footprint-large-object-500m,c2.footprint,PASS,-,-,524288000,1,733494916,14732166,2410207916,41486750,1042,30819640,0,3233941417,3645566,533368832,543354880
store-footprint-metadata-cardinality-100-low-v1,c2.footprint,PASS,-,low-v1,5242880,100,16960542,5926625,47253583,571458,375,244584,0,72816792,3223285,5529600,5529600
store-footprint-metadata-cardinality-100000,c2.footprint,PASS,-,-,524288000,100000,1055536583,15364459,9035088625,127554333,542,70258918,0,10240247792,3309455,541278208,554590208
store-footprint-unique-100-low-v1,c2.footprint,PASS,-,low-v1,5242880,100,25331750,13107333,49733208,580333,208,242582,0,85058458,3223285,5529600,5529600
store-footprint-unique-100000,c2.footprint,PASS,-,-,524288000,100000,988698458,4751000,8830845459,120765375,1208,63632114,0,9957990833,3309455,541253632,553680896
tiny-bulk-create-1-mixed-v3,c1.many-tiny,PASS,1,mixed-v3,0,1,212875,0,35458,98667,41,0,0,6009958,5640,,
tiny-bulk-create-10-mixed-v3,c1.many-tiny,PASS,10,mixed-v3,0,10,211916,0,62125,141792,250,0,0,5998834,12037,,
tiny-bulk-create-100-mixed-v3,c1.many-tiny,PASS,100,mixed-v3,0,100,395417,0,218416,526583,167,0,0,6610291,72791,,
tiny-bulk-create-500-mixed-v3,c1.many-tiny,PASS,500,mixed-v3,0,500,1075125,0,717250,1120875,333,0,0,8341333,189736,,
tiny-bulk-delete-1-mixed-v3,c1.many-tiny,PASS,1,mixed-v3,0,1,371000,0,24750,92584,125,0,0,6085500,6240,,
tiny-bulk-delete-10-mixed-v3,c1.many-tiny,PASS,10,mixed-v3,0,10,356041,0,49458,103208,167,0,0,5820625,11865,,
tiny-bulk-delete-100-mixed-v3,c1.many-tiny,PASS,100,mixed-v3,0,100,1162750,0,468875,148375,125,0,0,7019208,69676,,
tiny-bulk-delete-500-mixed-v3,c1.many-tiny,PASS,500,mixed-v3,0,500,3137500,0,1339750,183917,375,0,0,10357750,250903,,
tiny-create-1-mixed-v4,c1.many-tiny,PASS,1,mixed-v4,0,1,233208,0,47542,109917,125,0,0,6614167,5640,,
tiny-create-10-mixed-v4,c1.many-tiny,PASS,10,mixed-v4,0,10,231500,0,56833,160666,84,0,0,6161917,12037,,
tiny-create-100-compact-v2,c1.many-tiny,PASS,100,compact-v2,0,100,422125,0,217667,610708,167,0,0,7096791,72791,,
tiny-create-500-compact-v2,c1.many-tiny,PASS,500,compact-v2,0,500,1025708,0,681958,1093500,166,0,0,8535000,189736,,
tiny-stat-1-mixed-v4,c1.many-tiny,PASS,1,mixed-v4,0,1,273917,0,9667,44959,125,0,0,5765500,1307,,
tiny-stat-10-mixed-v4,c1.many-tiny,PASS,10,mixed-v4,0,10,259959,0,94584,76125,125,0,0,6028250,6069,,
tiny-stat-100-compact-v2,c1.many-tiny,PASS,100,compact-v2,0,100,592375,0,2613208,298583,167,0,0,8897916,51936,,
tiny-stat-500-compact-v2,c1.many-tiny,PASS,500,compact-v2,0,500,1671375,0,14512000,455916,292,0,0,22154833,151131,,
tiny-unlink-1-mixed-v4,c1.many-tiny,PASS,1,mixed-v4,0,1,272916,0,24750,110875,375,0,0,6432166,6240,,
tiny-unlink-10-mixed-v4,c1.many-tiny,PASS,10,mixed-v4,0,10,462000,0,47541,118000,209,0,0,6510750,11865,,
