path                                                                           scope        prod  physical
crates/layerfs-layerstack-store/sql/layerstack/list_layers.sql                 reference       9        13
crates/layerfs-layerstack-store/sql/layerstack/load_add_snapshot.sql           reference       9        13
crates/layerfs-layerstack-store/sql/objects/get.sql                            reference       1         5
crates/layerfs-layerstack-store/sql/objects/get_many_128.sql                   reference      13        17
crates/layerfs-layerstack-store/sql/objects/insert.sql                         reference       2         6
crates/layerfs-layerstack-store/sql/objects/membership_128.sql                 reference      13        17
crates/layerfs-layerstack-store/sql/objects/page.sql                           reference       5         9
crates/layerfs-layerstack-store/sql/query/branch_roots_page.sql                reference       7        11
crates/layerfs-layerstack-store/sql/query/canonical_storage.sql                reference       1         5
crates/layerfs-layerstack-store/sql/query/commit_roots_page.sql                reference       5         9
crates/layerfs-layerstack-store/sql/query/layer_roots_page.sql                 reference       5         9
crates/layerfs-layerstack-store/sql/query/store_counts.sql                     reference       6        10
crates/layerfs-layerstack-store/sql/schema/foreign_key_check.sql               reference       2         6
crates/layerfs-layerstack-store/sql/schema/migrate_to_v9.sql                   reference       1         1
crates/layerfs-layerstack-store/sql/schema/migrate_v4_to_v5.sql                reference       8         9
crates/layerfs-layerstack-store/sql/schema/migrate_v7_to_v8.sql                reference       1         1
crates/layerfs-layerstack-store/sql/schema/reserve_inode_serials.sql           reference       4         7
crates/layerfs-layerstack-store/sql/schema/schema_objects.sql                  reference       4         8
crates/layerfs-layerstack-store/sql/schema/table_columns.sql                   reference       3         7
crates/layerfs-layerstack-store/sql/schema/v10.sql                             reference     151       167
crates/layerfs-layerstack-store/sql/schema/v4.sql                              reference     124       136
crates/layerfs-layerstack-store/sql/schema/v5.sql                              reference     131       144
crates/layerfs-layerstack-store/sql/schema/v6.sql                              reference     138       152
crates/layerfs-layerstack-store/sql/schema/v7.sql                              reference     138       152
crates/layerfs-layerstack-store/sql/schema/v8.sql                              reference     138       152
crates/layerfs-layerstack-store/sql/schema/v9.sql                              reference     138       152
crates/layerfs-layerstack-store/sql/workspace/advance_branch.sql               reference       5         9
crates/layerfs-layerstack-store/sql/workspace/current_branch.sql               reference       3         7
crates/layerfs-layerstack-store/sql/workspace/delete_stage.sql                 reference       4         8
crates/layerfs-layerstack-store/sql/workspace/get_stage.sql                    reference       3         7
crates/layerfs-layerstack-store/sql/workspace/insert_commit.sql                reference       3         7
crates/layerfs-layerstack-store/sql/workspace/insert_stage.sql                 reference       3         7
crates/layerfs-layerstack-store/sql/workspace/load_snapshot.sql                reference       8        12
crates/layerfs-layerstack-store/src/branch.rs                                  reference      97       100
crates/layerfs-layerstack-store/src/error.rs                                   reference      84        93
crates/layerfs-layerstack-store/src/ids.rs                                     reference     182       225
crates/layerfs-layerstack-store/src/layerstack.rs                              reference    2059      4284
crates/layerfs-layerstack-store/src/lib.rs                                     reference      60        65
crates/layerfs-layerstack-store/src/objects/admission/metadata_values.rs       reference     131       143
crates/layerfs-layerstack-store/src/objects/admission.rs                       reference    1742      1940
crates/layerfs-layerstack-store/src/objects/delta.rs                           reference     110       116
crates/layerfs-layerstack-store/src/objects/diagnostic.rs                      reference     311       662
crates/layerfs-layerstack-store/src/objects/metadata.rs                        reference     374       548
crates/layerfs-layerstack-store/src/objects/pack.rs                            reference    1399      1953
crates/layerfs-layerstack-store/src/objects/read.rs                            reference    1958      2078
crates/layerfs-layerstack-store/src/objects/small_candidates.rs                reference     112       125
crates/layerfs-layerstack-store/src/objects/spill.rs                           reference     783       935
crates/layerfs-layerstack-store/src/objects/whole.rs                           reference     338       424
crates/layerfs-layerstack-store/src/objects.rs                                 reference    3819      7099
crates/layerfs-layerstack-store/src/query.rs                                   reference     477       506
crates/layerfs-layerstack-store/src/records.rs                                 reference     383       422
crates/layerfs-layerstack-store/src/schema.rs                                  reference     685      1021
crates/layerfs-layerstack-store/src/staging.rs                                 reference      79        84
crates/layerfs-layerstack-store/src/statements.rs                              reference     126       384
crates/layerfs-layerstack-store/src/store.rs                                   reference      55        67
crates/layerfs-layerstack-store/src/telemetry.rs                               reference     906      1049
crates/layerfs-layerstack-store/src/workspace.rs                               reference     938      1206
crates/layerfs-materialization/src/capture.rs                                  reference      84        87
crates/layerfs-materialization/src/lib.rs                                      reference       9        11
crates/layerfs-materialization/src/materialize.rs                              reference     186       197
crates/layerfs-materialization/src/port.rs                                     reference      79        91
crates/layerfs-monitor/src/collector.rs                                        reference      75        81
crates/layerfs-monitor/src/dedup.rs                                            reference     116       120
crates/layerfs-monitor/src/lib.rs                                              reference      13        15
crates/layerfs-monitor/src/operation.rs                                        reference     164       179
crates/layerfs-monitor/src/snapshot.rs                                         reference      46        55
crates/layerfs-sdk/src/client.rs                                               reference     565       617
crates/layerfs-sdk/src/lib.rs                                                  reference      37        40
crates/layerfs-sdk/src/query.rs                                                reference      75        89
crates/layerfs-sdk/src/request.rs                                              reference     268       287
crates/layerfs-sdk/src/result.rs                                               reference      34        41
crates/layerfs-workspace/src/capture.rs                                        reference     202       214
